
ID,Mas5-SignalIntensity,	DetectionCalls,	P-value
1007_s_at,	3242.902087,	P,	0.000218932
1053_at,	  377.8148132,	P,	0.017000453
117_at,	  114.887427,	A,	0.066864977
121_at,	  8739.032573,	P,	0.000218932
aavd,	   60.73464386,	A,	0.320830091
1294_at,	  821.8465904,	P,	0.001602361
1316_at,	 144.6296574,	P,	0.011447358
1320_at,	 254.3717175,	P,	0.009985415
bbc,	     84.09299303,	P,	0.009283339
1431_at,	 57.67286936,	P,	0.024710915
1438_at,	 78.58733051,	A,	0.234556513
1487_at,	 260.9962012,	A,	0.320830091
1494_f_at,	141.7319334,	A,	0.060419342
15522_at, 714.8235783,	P,	0.020429855
aaab,	293.6872066,	P,	0.006396093
1007_s_at,	3242.902087,	P,	0.000218932
1431_at,	57.67286936,	P	0.067
1431_at,	57.67286936,	P	0.062
